date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:19	49340/49340	---MCZ	200	added ('OK')	text/html	etag:%2296b685-c0bc-56466fee8d25d%22	http://themes.rokaux.com/unishop/v2.2/template-1/shop-categories.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/shop-categories.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:19	70553/70553	---MCZ	200	added ('OK')	text/html	etag:%2296b68f-11399-5649bd5e69aed%22	http://themes.rokaux.com/unishop/v2.2/template-1/shop-grid-ls.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/shop-grid-ls.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:20	70534/70534	---MCZ	200	added ('OK')	text/html	etag:%2296b68d-11386-5649bd5e6ba2d%22	http://themes.rokaux.com/unishop/v2.2/template-1/shop-grid-rs.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/shop-grid-rs.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:20	57085/57085	---MCZ	200	added ('OK')	text/html	etag:%2296b687-defd-56466fedf9b15%22	http://themes.rokaux.com/unishop/v2.2/template-1/shop-grid-ns.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/shop-grid-ns.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:20	66247/66247	---MCZ	200	added ('OK')	text/html	etag:%2296b691-102c7-5649bd5eb3e61%22	http://themes.rokaux.com/unishop/v2.2/template-1/shop-list-ls.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/shop-list-ls.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:21	50037/50037	---MCZ	200	added ('OK')	text/html	etag:%2296b68a-c375-56466feeebded%22	http://themes.rokaux.com/unishop/v2.2/template-1/shop-list-ns.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/shop-list-ns.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:21	66228/66228	---MCZ	200	added ('OK')	text/html	etag:%2296b690-102b4-5649bd5eb6d41%22	http://themes.rokaux.com/unishop/v2.2/template-1/shop-list-rs.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/shop-list-rs.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:22	62632/62632	---MCZ	200	added ('OK')	text/html	etag:%2296b68c-f4a8-56466fef44bbe%22	http://themes.rokaux.com/unishop/v2.2/template-1/shop-single.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/shop-single.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:22	235/235	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Feb%202018%2021:30:22%20GMT	http://themes.rokaux.com/unishop/v2.2/template-1/checkout.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/checkout.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:22	55247/55247	---MCZ	200	added ('OK')	text/html	etag:%2296b55a-d7cf-56466fe8239ce%22	http://themes.rokaux.com/unishop/v2.2/template-1/cart.html	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/cart.html	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
